NGC DESIGNATION,OTHER NAME(S),R.A.   ,DEC.  ,Distance
NGC6507,OCL   32          ,17 59.8,-17 27,4010
NGC6514,M20 TRIFID NEBULA,18 02.5,-23 01,2660
NGCB86,"Forms a pairing with NGC6520 open cluster, INKSPOT NEB.",18 03.0,-27 52,5150
NGC6520,"DEAD MAN'S CHEST CLUSTER, NEXT TO B86",18 03.4,-27 53,5150
NGC6522,GCL  82           ,18 03.6,-30 02,20000
NGC6531,M21,18 04.2,-22 30,3930
NGC6523,M8 LAGOON NEBULA (Cluster = 6530),18 04.4,-24 23,5200
NGC6530,OCL   19   in Lagoon Nebula(6523)    ,18 04.5,-24 21,4340
NGC6528,GCL  84           ,18 04.8,-30 03,25.8000
NGC6540,                  ,18 06.1,-27 46,17.3000
NGC6544,STARFISH CLUSTER,18 07.3,-25 00,10.8000
NGC6553,GCL  88           ,18 09.3,-25 54,19.6000
NGC6558,GCL  89           ,18 10.3,-31 46,24.1000
NGC6563,THE SOUTHERN RING NEBULA,18 12.0,-33 52,9500
NGCB92,on northside of M24,18 15.6,-18 14,10000
NGCB93,on northside of M24,18 16.9,-18 04,10000
NGC6603,in M24,18 18.5,-18 24,9400
NGC6613,M18 BLACK SWAN CLUSTER,18 20.0,-17 06,4900
NGC6618,M17 SWAN NEB./OMEGA NEBULA/CHECKMARK NEB.,18 21.1,-16 11,5500
NGC6624,GCL  93           ,18 23.7,-30 22,16.3000
NGC6626,M28,18 24.5,-24 52,18.5000
NGC6629,PK9-5.1;H II 204,18 25.7,-23 12,5900
NGC6638,GCL  95           ,18 30.9,-25 30,30.6000
NGC6637,M69,18 31.4,-32 21,29.7000
NGCIC4725,M25,18 31.8,-19 07,2025
NGC6642,GCL  97           ,18 31.9,-23 29,25000
NGC6645,OCL   48          ,18 32.6,-16 53,4060
NGC6656,M22 GREAT SAGITTARIUS CLUSTER,18 36.4,-23 54,10.6000
NGC6681,M70,18 43.2,-32 18,29.3000
NGCIC4776,PK2-13.1         ,18 45.8,-33 21,20.5000
NGC6715,M54,18 55.1,-30 29,50000
NGC6717,Palomar 9             ,18 55.1,-22 42,23.1000
NGC6723,Dunlop 573/CHANDELIER CLUSTER     ,18 59.6,-36 38,28.4000
NGC6809,M55 SPECTER CLUSTER,19 40.0,-30 58,17.6000
NGC6818,LITTLE GEM NEBULA,19 44.0,-14 09,7700
NGC6822,IC 4895/Barnard's Galaxy      ,19 44.9,-14 48,1.6000000
NGC6864,M75,20 06.1,-21 55,67.5000
NGC1435,CED  19I     in Pleiades=MEROPE NEB./TEMPEL'S NEBULA   ,03 46.2,+23 46,440
NGCIC349,Van den Bergh 22   in Pleiades         ,03 46.3,+23 56,450
NGC1514,The PANSY or CRYSTAL BALL NEBULA,04 09.3,+30 47,600
NGC1554,"Hind's Variable Nebula, STRUVE'S LOST NEBULA",04 21.9,+19 32,450
NGC1555,"Hind's Variable Nebula, STRUVE'S LOST NEBULA",04 21.9,+19 32,450
NGC1647,PIRATE MOON CLUSTER,04 45.7,+19 07,3600
NGC1746,OCL  452          ,05 03.6,+23 49,2480
NGC1817,POOR MAN'S DOUBLE CLUSTER,05 12.5,+16 41,4900
NGC1952,M1 CRAB NEBULA,05 34.5,+22 01,6500
NGC598,M33 TRIANGULUM GALAXY,01 33.9,+30 39,2.8000000
NGC669,UGC 1248         ,01 47.3,+35 34,250000000
NGC670,UGC 1250         ,01 47.4,+27 53,150000000
NGC672,UGC 1256         ,01 47.9,+27 26,7000000
NGC684,IC 165           ,01 50.2,+27 39,147000000
NGC751,UGC 1431         ,01 57.6,+33 12,218000000
NGC784,UGC 1501         ,02 01.3,+28 50,15000000
NGC925,UGC 1913         ,02 27.3,+33 35,30000000
NGC949,UGC 1983         ,02 30.8,+37 08,17000000
NGC2681,UGC 4645         ,08 53.5,+51 19,38000000
NGC2768,UGC 4821         ,09 11.6,+60 02,73000000
NGC2841,TIGER'S EYE GALAXY,09 22.0,+50 59,40000000
NGC3031,M81 BODE'S NEBULA,09 55.6,+69 04,12000000
NGC3034,M82 CIGAR GALAXY,09 55.9,+69 41,12000000
NGC3079,UGC 5387   THE PHANTOM FRISBEE      ,10 02.0,+55 41,57000000
NGC3077,UGC 5398 THE GARLAND GAL.        ,10 03.3,+68 44,12000000
NGC3184,LITTLE PINWHEEL GALAXY,10 18.3,+41 25,47000000
NGC3556,M108,11 11.5,+55 40,45000000
NGC3587,M97 OWL NEBULA,11 14.8,+55 01,2024
NGC3631,UGC 6360         ,11 21.0,+53 10,70000000
NGC3675,UGC 6439         ,11 26.1,+43 35,40000000
NGC3718,UGC 6524         ,11 32.6,+53 04,52000000
NGC3726,UGC 6537         ,11 33.3,+47 02,55000000
NGC3877,UGC 6745         ,11 46.1,+47 30,49000000
NGC3893,UGC 6778         ,11 48.6,+48 43,55000000
NGC3896,UGC 6781         ,11 48.9,+48 40,50000000
NGC3917,UGC 6815         ,11 50.8,+51 49,51000000
NGC3938,UGC 6856         ,11 52.8,+44 07,55000000
NGC3945,UGC 6860         ,11 53.2,+60 40,65000000
NGC3953,UGC 6870         ,11 53.8,+52 19,55000000
NGC3992,M109,11 57.6,+53 22,55000000
NGC4605,FABERGE EGG GALAXY,12 40.0,+61 36,17000000
NGC5457,M101 PINWHEEL GALAXY,14 03.2,+54 21,24000000
NGC4216,SILVER STREAK GALAXY,12 15.9,+13 09,55000000
NGC4303,M61 SWELLING SPIRAL,12 21.9,+04 28,50000000
NGC4374,M84,12 25.1,+12 53,57000000
NGC4406,M86,12 26.2,+12 57,57000000
NGC4435,"UGC 7575/The ""Eyes"" , COPELAND'S EYES",12 27.7,+13 05,50000000
NGC4438,"UGC 7574/The ""Eyes"" , COPELAND'S EYES    ",12 27.8,+13 00,55000000
NGC4472,M49,12 29.8,+08 00,53000000
NGC4486,M87,12 30.8,+12 23,51000000
NGC4517,4437,12 32.8,+00 07,30000000
NGC4526,HAIRY EYEBROW GALAXY,12 34.0,+07 42,55000000
NGC4535,UGC 7727/The Lost Galaxy of Copeland    ,12 34.3,+08 12,52000000
NGC4536,UGC 7732         ,12 34.4,+02 11,51000000
NGC4552,M89,12 35.7,+12 33,52000000
NGC4567,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.5,+11 15,83000000
NGC4568,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.6,+11 14,68000000
NGC4569,M90,12 36.8,+13 10,55000000
NGC4579,M58,12 37.7,+11 49,55000000
NGC4594,M104 SOMBRERO GALAXY,12 40.0,-11 37,30000000
NGC4621,M59,12 42.0,+11 39,52000000
NGC4649,M60,12 43.7,+11 33,54000000
NGC4666,UGC 7926         ,12 45.1,-00 28,60000000
NGC4699,VINYL LP GALAXY,12 49.0,-08 40,85000000
NGC5054,MCG - 3-34- 39    ,13 17.0,-16 38,63000000
NGC5363,near 5364,13 56.1,+05 15,85000000
NGC5364,near 5363,13 56.2,+05 01,70000000
NGC5634,,14 29.6,-05 59,82000
NGC5746,"BLADE&PEARL GALAXY, The Mini Sombrero",14 44.9,+01 57,95000000
NGC5846,,15 06.5,+01 36,84000000
NGC6802,OCL  114          ,19 30.6,+20 16,3600
NGC6820,LBN  135   w/6823 cluster       ,19 43.1,+23 17,6000
NGC6823,OCL  124          ,19 43.2,+23 18,6000
NGC6830,POODLE CLUSTER,19 51.0,+23 06,6000
NGC6853,M27 DUMBBELL NEBULA,19 59.6,+22 43,1360
NGC6885=6882=Collinder416,OCL  152/20 Vulpeculae Cluster       ,20 12.0,+26 29,1950
NGC6940,MOTHRA CLUSTER,20 34.5,+28 17,2700
