N,NI,RH,RM,RS,V,DG,DM,DS
ngc1,0,7,15.9,27,42,32
ngc2,0,7,17.1,27,40,43
ngc3,0,7,16.8,8,18,5
ngc4,0,7,24.5,8,22,26
ngc5,0,7,48.8,35,21,46
ngc6,0,9,32.6,33,18,32
ngc7,0,8,20.7,-29,54,59
ngc8,0,8,45.3,23,50,19
ngc9,0,8,54.5,23,49,4
ngc10,0,8,34.3,-33,51,28
ngc11,0,8,42.3,37,26,53
ngc12,0,8,44.8,4,36,44
ngc13,0,8,47.7,33,25,59
ngc14,0,8,46.3,15,48,57
ngc15,0,9,2.4,21,37,30
ngc16,0,9,4.2,27,43,48
ngc17,0,11,6.6,-12,6,28
ngc18,0,9,23.0,27,43,56
ngc19,0,10,40.8,32,58,58
ngc20,0,9,32.6,33,18,32
ngc21,0,10,47.0,33,21,7
ngc22,0,9,48.2,27,49,58
ngc23,0,9,53.3,25,55,26
ngc24,0,9,56.1,-24,57,52
ngc25,0,9,59.3,-57,1,13
ngc26,0,10,25.9,25,49,56
ngc27,0,10,32.7,28,59,49
ngc28,0,10,25.2,-56,59,20
ngc29,0,10,47.0,33,21,7
ngc30,0,10,50.8,21,58,39
ngc31,0,10,38.5,-56,59,10
ngc32,0,10,53.2,18,47,33
ngc33,0,10,56.6,3,40,35
ngc34,0,11,6.6,-12,6,28
ngc35,0,11,10.4,-12,1,14
ngc36,0,11,22.4,6,23,20
ngc37,0,11,23.0,-56,57,25
ngc38,0,11,47.0,-5,35,11
ngc39,0,12,18.8,31,3,39
ngc40,0,13,1.0,72,31,21
ngc41,0,12,48.0,22,1,26
ngc42,0,12,56.3,22,6,3
ngc43,0,13,0.9,30,54,56
ngc44,0,13,13.4,31,17,12
ngc45,0,14,4.0,-23,10,53
ngc46,0,14,10.0,5,59,14
ngc47,0,14,30.5,-7,10,4
ngc48,0,14,2.1,48,14,6
ngc49,0,14,22.4,48,14,50
ngc50,0,14,44.6,-7,20,42
ngc51,0,14,34.8,48,15,22
ngc52,0,14,40.0,18,34,54
ngc53,0,14,43.0,-60,19,43
ngc54,0,15,7.6,-7,6,24
ngc55,0,15,8.0,-39,13,10
ngc56,0,15,20.6,12,26,40
ngc57,0,15,30.9,17,19,45
ngc58,0,14,30.5,-7,10,4
