ID1,RH,RM,RS,V,DG,DM,DS
ic1008,14,23,42.6,28,20,50
ic1012,14,27,9.5,30,56,54
ic1016,14,27,32.3,4,49,17
ic1016,14,27,32.3,4,49,17
ic1026,14,30,10.3,31,12,55
ic1028,14,42,28.9,41,50,35
ic1030,14,32,38.5,31,40,13
ic1055,14,44,28.2,-13,43,30
ic1056,14,45,48.8,50,23,36
ic1057,14,45,48.8,50,23,36
ic106,1,24,41.7,-1,35,13
ic1063,14,52,10.9,4,40,53
ic1064,14,52,10.9,4,40,53
ic107,1,25,24.7,14,51,53
ic11,0,52,53.8,56,37,30
ic1100,15,6,20.6,62,58,50
ic1108,15,16,50.0,-45,38,56
ic1111,15,9,31.4,54,30,23
ic1118,15,24,59.4,13,26,44
ic1127,15,34,57.2,23,30,9
ic1148,15,57,8.1,22,24,18
ic1165,16,2,7.9,15,41,47
ic1165,16,2,7.9,15,41,47
ic1168,16,3,55.6,14,54,11
ic1168,16,3,55.6,14,54,11
ic1172,16,4,59.6,17,52,13
ic1176,16,5,31.1,17,57,46
ic1179,16,5,23.5,17,45,26
ic1183,16,5,38.1,17,46,3
ic1200,16,4,28.7,69,39,58
ic1202,16,12,56.8,9,52,4
ic1213,16,22,10.2,-1,30,51
ic1227,16,40,7.9,58,37,2
ic1239,17,0,45.0,23,2,40
ic1252,17,15,50.0,57,22,1
ic1253,17,19,54.6,16,39,38
ic1268,17,50,39.2,17,12,36
ic1280,18,12,18.3,25,39,46
ic1300,19,24,3.1,53,37,27
ic1301,19,26,31.9,50,7,33
ic1325,20,32,50.1,9,55,39
ic1326,20,32,58.8,9,52,26
ic1333,20,52,17.1,-16,17,9
ic1334,20,52,17.1,-16,17,9
ic1350,21,1,52.2,-13,51,8
ic1354,21,1,52.2,-13,51,8
ic1382,21,22,7.5,18,39,56
ic1448,22,34,32.0,-12,56,1
ic1452,22,45,59.2,10,52,5
ic1458,22,56,41.4,-7,22,47
ic1459,22,57,10.4,-36,27,45
ic146,1,38,39.8,-17,49,52
ic1477,23,17,12.0,-6,54,42
ic1478,23,18,13.9,10,17,52
ic1480,23,18,59.3,11,20,30
ic1483,23,22,33.0,11,19,46
ic1485,23,22,48.2,11,22,24
ic1486,23,23,54.2,9,40,6
ic1487,23,24,20.1,14,38,49
ic1490,23,59,10.7,-4,7,37
ic1495,23,30,47.5,-13,29,7
ic1514,23,54,16.5,-13,35,11
ic1523,23,59,6.5,6,52,25
ic1524,23,59,10.7,-4,7,37
ic1530,0,7,19.3,32,36,33
ic1539,0,18,22.4,30,4,44
ic1546,0,21,29.1,22,30,23
ic1559,0,36,52.2,23,59,6
ic1563,0,39,0.1,-9,0,54
ic1565,0,39,26.2,6,44,3
ic1567,0,39,26.2,6,44,3
ic1577,0,43,34.4,-8,11,8
ic1591,0,52,6.5,-22,40,49
ic1642,1,12,27.3,15,45,2
ic1645,1,12,27.3,15,45,2
ic165,1,50,14.1,27,38,46
ic1653,1,15,7.5,33,22,40
ic1656,1,15,37.9,33,3,59
ic1657,1,14,6.8,-32,39,2
ic1658,1,15,49.6,31,4,50
ic1661,1,16,12.4,33,3,49
ic1663,1,14,6.8,-32,39,2
ic1671,1,19,2.2,-17,3,40
ic1686,1,23,11.5,33,27,35
ic1700,1,25,24.7,14,51,53
ic1703,1,26,25.1,-1,38,18
ic1709,1,27,56.9,-35,43,3
ic1710,1,30,46.4,21,26,25
ic1712,1,31,20.5,-6,52,2
ic1743,1,52,59.5,12,42,30
ic1744,1,53,38.8,19,50,27
ic1751,1,56,20.9,5,37,43
ic1759,1,57,55.5,-32,59,14
ic1760,1,57,55.5,-32,59,14
